(-1415966.0000, -900175.6000, 429779.9000)
(-1415966.0000, -900175.6000, 429779.9000)
(-1415966.0000, -900175.6000, 429779.9000)
(-1415966.0000, -900175.6000, 429779.9000)
(2.9011, 0.2179, 0.2977)
(2.9615, 0.2175, 0.3999)
(2.9287, 0.2098, 0.3379)
(2.9363, 0.2740, 0.3377)
(1473336.0000, -902851.2000, -118890.3000)
(1473336.0000, -902851.2000, -118890.3000)
(1473336.0000, -902851.2000, -118890.3000)
(1473336.0000, -902851.2000, -118890.3000)
(0.0464, -0.0120, 0.4485)
(-0.0688, -0.0138, 0.4771)
(0.0012, -0.0135, 0.4685)
(-0.0157, 0.0219, 0.4171)
(0.1562, 2.6146, 0.4927)
(0.1660, 2.6390, 0.3766)
(0.1549, 2.6181, 0.4431)
(0.1649, 2.6811, 0.4535)
(0.3791, 0.4717, 1.8512)
(0.2663, 0.4580, 1.8168)
(0.3349, 0.4587, 1.8332)
(0.3118, 0.4915, 1.8839)
(0.2544, -0.1216, 1.7786)
(0.5468, 0.3461, 0.5810)
(0.5468, 0.3461, 0.5810)
(0.5468, 0.3461, 0.5810)

(0.1756, 2.8244, 0.1526)
(0.2307, 2.8520, 0.0513)
(0.1928, 2.8307, 0.1067)
(0.2103, 2.8893, 0.1278)
(0.1698, 0.4759, 1.8881)
(0.0561, 0.4843, 1.8550)
(0.1236, 0.4714, 1.8712)
(0.1089, 0.5121, 1.9193)

